MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}#tau_{2}},#Delta #eta_{b_{1}#tau_{2}},#Delta #phi_{b_{1}#tau_{2}},#Delta pT_{b_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{2}}(GeV),#Delta #vec{p}_{b_{1}#tau_{2}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}#tau_{2}},#Delta #eta_{#tau_{1}#tau_{2}},#Delta #phi_{#tau_{1}#tau_{2}},#Delta pT_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{p}_{#tau_{1}#tau_{2}}(GeV),pT_{#tau_{2}}(GeV),#eta_{#tau_{2}},#phi_{#tau_{2}},Energy_{#tau_{2}}(GeV),Mass_{#tau_{2}}(GeV),Q_{#tau_{1}}Q_{#tau_{2}},sT(GeV),mT(GeV)
82.73046874999999,0.3108830451965332,1,49.30718994140625,0.9118428230285645,1.136106014251709,72.26027160128025,11.946763038635217,2.797040391968502,1.5489882826805115,-2.32896334329714,-35.6949462890625,124.17831238785598,165.46412795023912,4.082416543550323,3.142985343933103,2.605334520339966,-10.901172637939446,105.64185334098188,345.07504535239815,85.00213623046875,-0.6371454596519469,-2.8181159496307373,104.25898615682762,17.099029541015625,2.0881388762791775,1.5939970612525913,-1.3488874435424805,24.793773651123054,92.72334141530153,237.96181709360044,60.208362579345696,-2.2311425209045384,-1.4692285060882568,283.5409237525804,3.5847682952896083,-1.0,277.2481575012207,580.5788477710955
77.62416076660156,1.730556845664978,2,35.714561462402344,-1.5275151729583738,-1.7174432277679443,86.5146477677123,8.045101165771428,2.176405113614619,0.16046571731567405,2.17048150697817,-78.46977996826173,137.53816789506058,259.3214695207745,2.9145037076064133,-0.04767787456512429,2.914113704358236,11.431722640991214,59.62385326562308,65.7962558949945,114.18434143066408,-1.6879808902740479,2.3952605724334717,319.34298360225034,0.8956803083441298,0.7722127943911222,-0.20814359188079834,0.7436321973800659,89.90150260925294,97.70463471754772,266.2419600228721,24.28283882141113,-1.4798372983932495,1.6516283750534058,56.12537975583941,1.9292185306548926,-1.0,251.8059024810791,657.8440497626817
50.61217498779296,-3.0583770275115967,0,109.89654541015625,-0.5242732167243959,0.2534240484237671,126.4520525086922,16.666675567626953,2.0976339752068522,0.5907152295112607,2.01274037361145,58.76538848876953,139.63605718024849,139.94460901568988,2.2092823601622507,-1.961069285869598,-1.01741623878479,76.62817764282227,96.64892556067873,159.0536661669428,51.13115692138672,-1.1149884462356565,-1.759316325187683,86.38555954446929,2.5969872474671725,3.9614963471630493,-2.5517845153808585,-3.0301566123962402,17.862789154052734,84.27442074758665,159.66219198981508,33.268367767333984,1.4367960691452022,1.2708402872085571,73.9497259807025,1.3720536231997114,-1.0,244.90824508666992,363.13084410616483
81.12507629394531,-3.0527379512786865,4,49.83148193359375,0.4982771873474123,-1.7573188543319702,56.487532468876914,6.1966423988341734,1.528362184905126,-0.006640136241912786,-1.528347760438919,6.932792663574226,64.35871023549291,64.44212242397448,3.0892550153647207,0.30960915982723247,-3.0737011432647705,17.180335998535156,82.43717162418658,84.75215475736536,42.898689270019524,0.5049173235893251,-0.22897109389305118,49.09731229261634,7.734980583190947,1.5773809606672489,0.3162492960691453,-1.5453533828258514,10.24754333496093,53.24591193586652,55.713042231910634,32.651145935058594,0.18866802752017978,1.3163822889328003,33.30056315474868,2.1046061515807564,1.0,206.5063934326172,724.5416918802625
18.65077781677246,0.9931429624557495,0,50.64164733886719,0.9797942638397217,0.7621501088142395,77.17143445987305,5.742397308349609,3.1109313025680825,-0.6482020616531368,-3.04265141883959,-13.33405685424804,114.47902515161229,151.15795179716812,2.2930762183911355,-0.6377011537551887,2.202620208263397,19.178329467773438,73.73359272907192,75.95289826171866,63.97570419311523,1.6279963254928584,-2.478383779525757,169.286868055133,4.9278326034544975,1.037966799255559,0.010500907897948109,-1.0379136800765991,32.51238632202148,55.11499686116261,97.54468706397353,31.46331787109375,1.6174954175949103,-1.4404700994491577,82.49568060981511,3.631160497665272,-1.0,164.73144721984863,628.1379810830648
70.85974884033203,-2.3966012001037598,0,51.032230377197266,-0.6185607910156251,1.1154937744140625,61.27212491529279,4.448482036590602,2.9578457326533925,0.3058375716209414,-2.941991631184713,7.487758636474609,94.10905137211527,94.95101606373146,1.6032297662955677,-0.18303215503692633,1.5927475988864899,19.49762535095215,60.57528966338773,63.62001202157994,43.544471740722656,-0.9243983626365665,-2.2256999015808105,63.83709557382174,6.431785583496094,1.815504694072211,-0.4888697266578677,-1.7484460771083832,12.009866714477539,58.10225827274752,66.36173658276658,31.534605026245117,-0.4355286359786988,-0.47725382447242737,34.91935796548552,4.906004905700707,-1.0,196.97105598449707,342.1411225753119
12.521734237670898,-1.789923071861267,0,36.02255630493164,2.3367092609405486,0.10239779949188231,188.28467666494888,8.206408500671332,2.422629286934506,1.0338028669357266,-2.190977931022644,4.520559310913086,60.075226374951136,144.06470408368347,1.7017209045200232,0.6829040050506561,1.5586841106414795,9.713958740234375,44.3487301311707,126.41990108144643,31.501996994018555,1.302906394004822,2.2933757305145264,62.37326050876018,4.021300792694063,2.5577079872769626,-0.3508988618850706,-2.5335232655154627,5.193399429321289,55.18109907009257,56.591468147056,26.308597564697266,1.6538052558898926,-1.4562863111495972,71.27610063994551,0.7655049562463041,-1.0,106.35488510131836,157.72966837611344
50.629791259765625,0.482870876789093,2,93.11421966552733,0.9262949228286744,0.26062092185020447,136.77145098352062,14.501506805419796,2.016902448091258,1.7491408586502075,1.0041920840740204,37.06502532958983,78.79713820780717,169.9942894310742,2.3942640558398596,1.9143907427787783,-1.437918096780777,42.56449890136717,99.8915487161999,186.59683979402027,56.0491943359375,-0.8228459358215331,-0.7435711622238159,77.1665186005056,12.671418190002441,2.4476947643934603,0.16524988412857078,-2.4421101808547974,5.499473571777344,100.16329500544205,100.40609277650005,50.549720764160156,-0.9880958199501039,1.6985390186309814,77.30442122452313,0.7661459445947063,-1.0,250.34292602539062,599.7553799064573
5.836653232574462,2.7108635902404785,1,32.004486083984375,-2.187625885009764,-1.2044421434402466,144.6414654583748,7.639618873596132,2.40114783396145,-2.0610528737306577,1.2318977117538452,-15.039222717285156,47.28976755503079,142.92873956314094,2.765209754193671,-1.044761538505552,-2.5602457523345947,-2.3795204162597656,63.607223199036156,112.1951193878184,47.04370880126953,-0.12657301127910614,-2.436339855194092,47.54200372096851,3.3891286849975586,2.6903786986379004,1.0162913352251057,2.4910418430911463,12.65970230102539,77.26386116074644,88.16047580968568,34.38400650024414,-1.1428643465042119,1.3558036088943481,59.39220982624916,6.743495761743046e-07,-1.0,119.26885461807251,1018.6112315117662
4.7277750968933105,-2.9125516414642334,0,35.043914794921875,1.720370054244995,-0.3092178106307984,101.09116818116232,3.6703588962553617,1.4790721083589975,-0.06805074214935392,1.4775058031082153,-5.461162567138672,51.03212295746298,55.96412212982833,1.9714579937921686,0.20510661602020241,-1.9607595205307007,-4.996788024902344,62.43545575390912,62.95177784159612,40.50507736206055,1.7884207963943488,-1.7867236137390137,124.49909619767496,0.7360538840280345,2.8580036135511127,0.27315735816955633,2.84491998354067,0.4643745422363281,79.66128212188345,85.48704135457602,40.04070281982422,1.5152634382247925,1.6515417098999023,95.52844452390333,2.1394054889679883,-1.0,120.31747007369995,847.0984109453877
